,user,text,favorite_count,retweet_count,created_at
0,elonmusk,"@Not_the_Bee I agree with assisted suicide if someone is a mature adult, but definitely not kids. 

There is a reason we have an age of consent.",2523,245,2023-04-25 04:23:49+00:00
1,elonmusk,@shaunmmaguire Ask GPT-whatever,1289,86,2023-04-25 03:34:05+00:00
2,elonmusk,@farzyness Our meat computers are so slow 😔,1510,112,2023-04-25 03:32:19+00:00
3,elonmusk,The collective mind that is this platform needs more signal &amp; less noise,30752,3153,2023-04-25 03:30:39+00:00
4,elonmusk,@farzyness Collective consciousness,3433,297,2023-04-25 03:29:10+00:00
5,elonmusk,@NoemiKhachian @TuckerCarlson @donlemon Odd Couple (2023 remake),1204,60,2023-04-25 03:28:28+00:00
6,elonmusk,@EdKrassen Are you ever critical of someone on the left?,72960,4625,2023-04-25 02:12:20+00:00
7,elonmusk,"@MuskUniversity Can’t shrink humans, so need big rocket",5178,429,2023-04-25 01:41:22+00:00
8,elonmusk,https://t.co/RRFH30OOvt,105686,9662,2023-04-25 01:36:55+00:00
9,elonmusk,@RampCapitalLLC 💯,1285,76,2023-04-25 01:31:42+00:00
10,elonmusk,@cameron Exactly,4380,240,2023-04-25 01:24:40+00:00
11,elonmusk,@GRDecter We’re running out of “everything is fine!” memes,10247,1087,2023-04-25 01:16:10+00:00
12,elonmusk,@WallStreetSilv @alifarhat79 Literally,5121,297,2023-04-25 00:40:27+00:00
13,elonmusk,@JonErlichman WALL-E has decent runway,3037,132,2023-04-25 00:34:27+00:00
14,elonmusk,"@waitbutwhy Mind-blowing concept when you first hear it. 

There is arguably a practical maximum to digits of pi, which is the number required to divide the universe into cubes of Planck length.",3351,272,2023-04-25 00:30:09+00:00
15,elonmusk,"Censor not, lest ye be censored",98911,11486,2023-04-25 00:23:59+00:00
16,elonmusk,"@KanekoaTheGreat @DavidSacks Exactly right. If we lose freedom of speech, it’s never coming back.

Beware of censorship lest ye censored.",33230,6136,2023-04-25 00:22:51+00:00
17,elonmusk,"@unusual_whales Nice. Just me here @elonmusk too. If something dumb is said, it’s definitely me.",7587,386,2023-04-25 00:20:05+00:00
18,elonmusk,"@ErcXspace @SpaceX Gravity, gravity, 
time to escape 
that for me",4052,284,2023-04-24 23:08:25+00:00
19,elonmusk,Or maybe just X https://t.co/5nCtYbrPfN,43494,4799,2023-04-24 23:07:23+00:00
20,elonmusk,@SawyerMerritt @SpaceX @Tesla Yay!,3711,174,2023-04-24 23:04:01+00:00
21,elonmusk,@all_in_tok @DavidSacks @theallinpod Wow,1209,80,2023-04-24 23:02:46+00:00
22,elonmusk,@waitbutwhy Thanks!,1702,71,2023-04-24 23:01:28+00:00
23,elonmusk,@Erdayastronaut I just subscribed,4494,146,2023-04-24 22:57:11+00:00
24,elonmusk,@nichegamer @Marsupial_Gamer I subscribed!,847,53,2023-04-24 22:39:14+00:00
25,elonmusk,@andst7 😅,1864,87,2023-04-24 22:30:57+00:00
26,elonmusk,@investmattallen @GRDecter More,5808,287,2023-04-24 22:00:21+00:00
27,elonmusk,"@krassenstein To paraphrase a famous statement about democracy:

Free press is the worst form of press – except for all the others that have been tried.",4245,387,2023-04-24 21:59:28+00:00
28,elonmusk,@cscarroll @GRDecter @TuckerCarlson @MrBeast Jimmy (@mrbeast) has already enabled subscriptions on this platform,1096,56,2023-04-24 21:38:24+00:00
29,elonmusk,"@GRDecter Or we don’t hire anyone, but simply enable content creators to prosper on this platform without applying censorship that goes beyond the law",147843,10375,2023-04-24 21:37:02+00:00
30,elonmusk,"We’re rapidly improving transparency &amp; fairness on this platform, but there is still a lot of work to do https://t.co/lzorcmXAnd",41090,5038,2023-04-24 21:34:45+00:00
31,elonmusk,Hard to believe Starship actually did launch on 4/20 lol,99165,6418,2023-04-24 21:31:00+00:00
32,elonmusk,@cb_doge You’d never guess it’s me!,11540,471,2023-04-24 21:17:56+00:00
33,elonmusk,@EvaFoxU @smithynimmy It will be soon,1201,69,2023-04-24 21:15:57+00:00
34,elonmusk,@WallStreetSilv I kinda love Cramer,4072,211,2023-04-24 21:10:19+00:00
35,elonmusk,"Content creators may wish to enable subscriptions on this platform. 

Just tap on Monetization in settings. https://t.co/CmD06Mczmn",45531,4569,2023-04-24 21:09:39+00:00
36,elonmusk,"@PeterDiamandis If heat death is the fate of the Universe, it really is all about the journey",2741,215,2023-04-24 21:08:04+00:00
37,elonmusk,We live in the most interesting of times,201500,21926,2023-04-24 21:07:13+00:00
38,elonmusk,@PeterDiamandis I love your relentless optimism in an otherwise pessimistic world!,5970,505,2023-04-24 20:06:02+00:00
39,elonmusk,@TheBabylonBee 🔥🤣,59841,3851,2023-04-24 16:14:42+00:00
40,elonmusk,@KanekoaTheGreat @DavidSacks Exactly,7507,701,2023-04-24 15:52:03+00:00
41,elonmusk,@paulg Interesting,18070,875,2023-04-24 15:50:33+00:00
42,elonmusk,@DavidSacks Pretty much,6394,447,2023-04-24 14:51:56+00:00
43,elonmusk,@DavidSacks Thoughtful article by @Politico,4553,438,2023-04-24 14:40:23+00:00
44,elonmusk,@slashdot 😂,4884,297,2023-04-24 00:25:45+00:00
45,elonmusk,@waitbutwhy It will be a Brave New World,31312,2634,2023-04-23 23:51:29+00:00
46,elonmusk,"@teslaownersSV This really opens your eyes. If they’re this wrong about Tesla, what subjects are they actually right about?",23104,2382,2023-04-23 18:03:57+00:00
47,elonmusk,@TrungTPhan This resonates,3168,170,2023-04-23 16:58:19+00:00
48,elonmusk,@BillyM2k @StockMKTNewz It has gone full beyond,6363,410,2023-04-23 16:52:50+00:00
49,elonmusk,@kerrikgray Intense week,13295,549,2023-04-23 16:50:19+00:00
50,elonmusk,@MarioNawfal Twitter is a serious danger to their ability to control the narrative,65525,9764,2023-04-23 16:45:35+00:00
51,elonmusk,@MarioNawfal Yup,35345,1288,2023-04-23 16:44:50+00:00
52,elonmusk,"@oldbooksguy Orwell was right -&gt; schools &amp; media
Huxley -&gt; public *is* heavily medicated 
Rand was also right, as you say.

We now have the perfect storm. 

Did you know that Soma is a real drug? Takes away pain, but dulls your mind.",47431,7709,2023-04-23 15:59:38+00:00
53,elonmusk,@parafactual 😂,4172,193,2023-04-23 15:54:06+00:00
54,elonmusk,@BillyM2k I’ll take him!,37950,1213,2023-04-23 15:50:00+00:00
55,elonmusk,"@DogecoinNorway Or, at least, that’s what Snorri said 
https://t.co/P1N6FNqyNg",2479,210,2023-04-23 13:44:45+00:00
56,elonmusk,@farzyness 💯,4932,278,2023-04-23 13:29:10+00:00
57,elonmusk,@isro @NSIL_India @PIB_India Congratulations!,29726,2008,2023-04-23 12:58:43+00:00
58,elonmusk,@TonyadeVitti @dvorahfr @kerrikgray @SweetSirenDream @foxxpup @aliciatoralll @billybumbler2 @OhCaraMia2 @helloitstanya98 @InaLendt Everything,21064,1378,2023-04-23 12:45:34+00:00
59,elonmusk,@alvinfoo True,4330,257,2023-04-23 09:21:37+00:00
60,elonmusk,@cb_doge ❗️,3434,208,2023-04-23 08:47:32+00:00
61,elonmusk,@BasedBeffJezos True,2598,153,2023-04-23 08:37:25+00:00
62,elonmusk,@MarioNawfal Good advice,6522,378,2023-04-23 08:25:24+00:00
63,elonmusk,@ACTBrigitte Certainly trial,55280,4040,2023-04-23 05:50:03+00:00
64,elonmusk,@JenniferCandoli Me,91946,2096,2023-04-23 05:45:19+00:00
65,elonmusk,@EvasTeslaSPlaid I wonder if you can rent them on @airbnb,13793,473,2023-04-23 05:43:21+00:00
66,elonmusk,@DanielleFong 🤣🤣,2143,125,2023-04-23 05:41:35+00:00
67,elonmusk,@moskov @DanielleFong Thanks Dustin,3530,163,2023-04-23 05:40:39+00:00
68,elonmusk,@DanielleFong This is crazy. Data source?,2428,168,2023-04-23 05:39:29+00:00
69,elonmusk,@gummibear737 Wow,3552,186,2023-04-23 05:36:21+00:00
70,elonmusk,@GailAlfarATX @SpaceX @cnunezimages I subscribed!,3884,182,2023-04-23 05:35:05+00:00
71,elonmusk,@GailAlfarATX @SpaceX @cnunezimages Great citizen journalism!,5962,272,2023-04-23 05:34:06+00:00
72,elonmusk,"@StephenKing I’ve donated $100M to Ukraine, how much have you donated?

(We turned down the DoD money btw) https://t.co/wpLa6dTnP6",219266,15707,2023-04-23 05:29:29+00:00
73,elonmusk,@unhealthytruth Good points,11044,876,2023-04-23 04:58:35+00:00
74,elonmusk,@AiBreakfast 💯,3068,212,2023-04-23 03:58:15+00:00
75,elonmusk,https://t.co/PubSW9oJ5E,305406,19177,2023-04-23 03:30:43+00:00
76,elonmusk,@TheRabbitHole84 True,8060,470,2023-04-23 02:38:48+00:00
77,elonmusk,"@farzyness There have been several extended periods of flatness, followed by rapid rises to new plateaus",7962,569,2023-04-23 02:38:09+00:00
78,elonmusk,@jnsfrd Amazing,2362,138,2023-04-23 02:32:48+00:00
79,elonmusk,@krassenstein !,1828,129,2023-04-23 02:22:59+00:00
80,elonmusk,@WallStreetSilv Incentives matter,11451,768,2023-04-23 02:08:31+00:00
81,elonmusk,@Scobleizer Allergies,5040,208,2023-04-23 02:01:44+00:00
82,elonmusk,@Healthyfairy86 @unusual_whales Certainly should be same for all,15815,320,2023-04-23 00:57:10+00:00
83,elonmusk,@paulkrugman https://t.co/31P6jAVP2C,201818,9074,2023-04-23 00:55:27+00:00
84,elonmusk,@RandleDog @catturd2 @CommunityNotes 🤣,2107,86,2023-04-23 00:54:11+00:00
85,elonmusk,@Rainmaker1973 Mud camouflage lol https://t.co/rNRnrR1xCg,2085,139,2023-04-23 00:53:17+00:00
86,elonmusk,@unusual_whales Is all this just about raising the pension age from 62 to 64 or is there more to it?,97954,6299,2023-04-22 23:41:41+00:00
87,elonmusk,@Fathers_Writes Malaria did it for me,45948,1170,2023-04-22 23:35:42+00:00
88,elonmusk,The least bad solution to the AGI control problem that I can think of is to give every verified human a vote,93213,7642,2023-04-22 23:35:01+00:00
